col,type,burning_micturition
id,False
itching,True
skin_rash,False
nodal_skin_eruptions,False
continuous_sneezing,False
shivering,False
chills,False
joint_pain,False
stomach_pain,True
acidity,False
ulcers_on_tongue,False
muscle_wasting,False
vomiting,False
burning_micturition,True
fatigue,False
weight_gain,False
anxiety,False
cold_hands_and_feets,False
mood_swings,False
weight_loss,False
restlessness,False
lethargy,False
patches_in_throat,False
irregular_sugar_level,False
cough,False
high_fever,False
sunken_eyes,False
breathlessness,False
sweating,False
dehydration,False
indigestion,False
headache,False
yellowish_skin,False
dark_urine,False
nausea,False
loss_of_appetite,False
pain_behind_the_eyes,False
back_pain,False
constipation,False
abdominal_pain,False
diarrhoea,False
mild_fever,False
yellowing_of_eyes,False
acute_liver_failure,False
swelling_of_stomach,False
swelled_lymph_nodes,False
malaise,False
blurred_and_distorted_vision,False
phlegm,False
throat_irritation,False
redness_of_eyes,False
sinus_pressure,False
runny_nose,False
congestion,False
chest_pain,False
weakness_in_limbs,False
fast_heart_rate,False
pain_during_bowel_movements,False
pain_in_anal_region,False
bloody_stool,False
irritation_in_anus,False
neck_pain,False
dizziness,False
cramps,False
bruising,False
obesity,False
swollen_legs,False
swollen_blood_vessels,False
puffy_face_and_eyes,False
enlarged_thyroid,False
brittle_nails,False
swollen_extremeties,False
excessive_hunger,False
extra_marital_contacts,False
drying_and_tingling_lips,False
slurred_speech,False
knee_pain,False
hip_joint_pain,False
muscle_weakness,False
stiff_neck,False
swelling_joints,False
movement_stiffness,False
spinning_movements,False
loss_of_balance,False
unsteadiness,False
weakness_of_one_body_side,False
loss_of_smell,False
bladder_discomfort,True
continuous_feel_of_urine,True
passage_of_gases,False
internal_itching,False
depression,False
irritability,False
muscle_pain,False
altered_sensorium,False
red_spots_over_body,False
belly_pain,False
abnormal_menstruation,False
watering_from_eyes,False
increased_appetite,False
polyuria,False
family_history,False
mucoid_sputum,False
rusty_sputum,False
lack_of_concentration,False
visual_disturbances,False
receiving_blood_transfusion,False
receiving_unsterile_injections,False
coma,False
stomach_bleeding,False
distention_of_abdomen,False
history_of_alcohol_consumption,False
fluid_overload,False
blood_in_sputum,False
prominent_veins_on_calf,False
palpitations,False
painful_walking,False
pus_filled_pimples,False
blackheads,False
scurring,False
skin_peeling,False
silver_like_dusting,False
small_dents_in_nails,False
inflammatory_nails,False
blister,False
red_sore_around_nose,False
yellow_crust_ooze,False
